c_ClaveProdServ,Descripción,Incluir IVA trasladado,Incluir IEPS trasladado,Complemento que debe incluir,FechaInicioVigencia,FechaFinVigencia,Estímulo Franja Fronteriza,Palabras similares
10141505,Sillín o pelero,Opcional,Opcional,,43472,,1,
10141600,Arneses,Opcional,Opcional,,43472,,1,
10141601,Bridas,Opcional,Opcional,,43472,,1,Correas para caballos
10141602,Yugos,Opcional,Opcional,,43472,,1,
10141603,Bocados para caballos,Opcional,Opcional,,43472,,1,Embocaduras para caballo
10141604,Riendas,Opcional,Opcional,,43472,,1,Correas
10141605,Estribos,Opcional,Opcional,,43472,,1,
10141606,Correas o traíllas,Opcional,Opcional,,43472,,1,
10141607,Arneses de cuello para animales,Opcional,Opcional,,43472,,1,
10141608,Arneses o sus accesorios,Opcional,Opcional,,43472,,1,
10141609,Sujetadores,Opcional,Opcional,,43472,,1,
10141610,Bozales,Opcional,Opcional,,43472,,1,
10141611,Soportes para correas,Opcional,Opcional,,43472,,1,
10151500,Semillas y plántulas vegetales,Opcional,Opcional,,43472,,1,Semillas y vástagos vegetales
10151501,Semillas o plántulas de fríjol,Opcional,Opcional,,43472,,1,"Semillas o vástago primario de fríjol, Semillas o vástago primario de fríjol blanco, Semillas o vástago primario de fríjol negro, Semillas o vástago primario de fríjol rojo adzuki"
10151502,Semillas o plántulas de zanahoria,Opcional,Opcional,,43472,,1,Semillas o vástago primario de zanahoria
10151503,Semillas o plántulas de apio,Opcional,Opcional,,43472,,1,Semillas o vástago primario de apio
10151504,Semillas o plántulas de chiles,Opcional,Opcional,,43472,,1,Semillas o vástago primario de chiles
10151505,Semillas o plántulas de calabacín,Opcional,Opcional,,43472,,1,Semillas o vástago primario de calabacín
10151506,Semillas o plántulas de alverja,Opcional,Opcional,,43472,,1,"Semillas o vástago primario de chícharo, Semillas o vástago primario de guisante"
10151507,Semillas o plántulas de pepino cohombro,Opcional,Opcional,,43472,,1,Semillas o vástago primario de pepino cohombro
10151508,Semillas o plántulas de berenjena,Opcional,Opcional,,43472,,1,Semillas o vástago primario de berenjena
10151509,Semillas o plántulas de endivias,Opcional,Opcional,,43472,,1,Semillas o vástago primario de endivias
10151510,Semillas o plántulas de ajo,Opcional,Opcional,,43472,,1,Semillas o vástago primario de ajo
10151511,Semillas o plántulas de puerro,Opcional,Opcional,,43472,,1,Semillas o vástago primario de puerro
10151512,Semillas o plántulas de lechuga,Opcional,Opcional,,43472,,1,Semillas o vástago primario de lechuga
